particle_id,particle,energy_MeV,pos_x_m,pos_y_m,pos_z_m,dir_x,dir_y,dir_z
0,neutron,2379.407440362752,-0.6499962545182703,99.0,0.3435544944263311,0.0,-1.0,0.0
0,neutron,2379.407440362752,2.4327868959022547,99.0,0.5501227596142089,0.0,-1.0,0.0
0,neutron,2379.407440362752,1.3875491386140668,99.0,-3.077841806310806,0.0,-1.0,0.0
0,neutron,2379.407440362752,-2.6031481379142507,99.0,1.927307021380103,0.0,-1.0,0.0
0,neutron,2379.407440362752,-2.3662958240677474,99.0,-2.591485721628848,0.0,-1.0,0.0
0,neutron,2379.407440362752,-0.31582683769833597,99.0,3.850172925023834,0.0,-1.0,0.0
0,neutron,2379.407440362752,-3.481193803884379,99.0,3.1165272785929794,0.0,-1.0,0.0
0,neutron,2379.407440362752,-2.6812168877526634,99.0,-0.5478787183854621,0.0,-1.0,0.0
0,neutron,2379.407440362752,1.977921331307634,99.0,2.3949121852220214,0.0,-1.0,0.0
0,neutron,2379.407440362752,-3.499442612414126,99.0,1.8049192052943477,0.0,-1.0,0.0
0,neutron,2379.407440362752,1.6192198748954283,99.0,-1.1363692225373718,0.0,-1.0,0.0
0,neutron,2379.407440362752,1.4316164624859784,99.0,-2.0841631312289097,0.0,-1.0,0.0
0,neutron,2379.407440362752,-1.262048081453539,99.0,-1.487232489035307,0.0,-1.0,0.0
0,neutron,2379.407440362752,-3.6473968266942274,99.0,1.6841773065665118,0.0,-1.0,0.0
0,neutron,2379.407440362752,3.9750923530693916,99.0,-3.654465101940782,0.0,-1.0,0.0
0,neutron,2379.407440362752,-0.6505303258562005,99.0,3.478651560426007,0.0,-1.0,0.0
0,neutron,2379.407440362752,1.4120521934748487,99.0,2.7021897628735303,0.0,-1.0,0.0
0,neutron,2379.407440362752,-0.5293349251261148,99.0,0.5564506657542632,0.0,-1.0,0.0
0,neutron,2379.407440362752,2.477549368963862,99.0,-0.005087024198602741,0.0,-1.0,0.0
0,neutron,2379.407440362752,3.7677567584804725,99.0,2.218270069976107,0.0,-1.0,0.0
0,neutron,2379.407440362752,1.3147009691252007,99.0,0.7874653152944395,0.0,-1.0,0.0
0,neutron,2379.407440362752,3.302727822698622,99.0,1.949750046994982,0.0,-1.0,0.0
0,neutron,2379.407440362752,-2.163559578194267,99.0,2.95930219950463,0.0,-1.0,0.0
